Line		Lexeme			Token
--------------------------------------------------------
1		enroll			ENROLL
2		{			{
3		score			DT
3		marks			ID
3		=			=
3		75			NUM
3		;			;
4		grade			DT
4		result			ID
4		;			;
5		check			CHECK
5		(			(
5		marks			ID
5		>=			>=
5		50			NUM
5		)			)
6		{			{
7		result			ID
7		=			=
7		'P'			CHAR
7		;			;
8		}			}
9		otherwise			OTHERWISE
10		{			{
11		result			ID
11		=			=
11		'F'			CHAR
11		;			;
12		}			}
13		print			PRINT
13		(			(
13		result			ID
13		)			)
13		;			;
14		}			}
15		graduate			GRADUATE
